Intersection,Postal Code,Vehicle Traffic,Pedestrian Traffic,Average Age,Average Income,Average Number of Children Per Household,Percent of Youth
EGLINTON AVE W and DUPLEX AVE,M4R 2G9,15743,1967,39.4,45447,1.079062958,17.3
EGLINTON AVE W and ORIOLE PKWY,M4R 1A9,13295,488,39.4,45447,1.079062958,17.3
AVENUE RD and EGLINTON AVE W,M4R 1B2,26329,3717,39.4,45447,1.079062958,17.3
EGLINTON AVE W and HEDDINGTON AVE,M5N 1B1,14096,2607,39.8,40021,1.115646259,18.5
EGLINTON AVE W and CHAPLIN CRES,M5N 1B8,19751,1037,39.8,40021,1.115646259,18.5
EGLINTON AVE W and SPADINA RD,M5N 1C2,20620,416,39.8,40021,1.115646259,18.5
BATHURST ST and EGLINTON AVE W,M5N,20547,2504,39.8,40021,1.115646259,18.5
EGLINTON AVE W and GLEN CEDAR RD,M6C 2C6,15770,783,40.2,32457,1.078114004,15.8
EGLINTON AVE W and MARLEE AVE,M6E 2G6,17430,1355,41.3,25364,1.105022831,14
EGLINTON AVE W and OAKWOOD AVE,M6E 2G8,17171,3006,41.3,25364,1.105022831,14
EGLINTON AVE W and NORTHCLIFFE BLVD,M6E 2H6,7308,2900,41.3,25364,1.105022831,14
DUFFERIN ST and EGLINTON AVE W,M6E 2H6,22212,8427,41.3,25364,1.105022831,14
EGLINTON AVE W and ENNERDALE RD,M6E 2J8,9802,3069,41.3,25364,1.105022831,14
AVENUE RD and ELGIN AVE,M5R 3N8,14811,2673,43.6,38077,1.024783147,7.3
AVENUE RD and DAVENPORT RD,M5R 3S4,31510,4661,43.6,38077,1.024783147,7.3
AVENUE RD and DUPONT ST,M5R 2J6,16518,642,43.6,38077,1.024783147,7.3
AVENUE RD and COTTINGHAM ST,M4V 2H2,18929,662,44.9,46582,1.038848921,10.3
AVENUE RD and BALMORAL AVE,M4V 1J7,23332,1605,44.9,46582,1.038848921,10.3
ST CLAIR AVE W and AVENUE RD,M4V 0A1,29303,4696,44.9,46582,1.038848921,10.3
AVENUE RD and LONSDALE RD,M4V,19162,807,44.9,46582,1.038848921,10.3
ORIOLE PKWY and GORMLEY AVE,M4V 1W6,19054,195,44.9,46582,1.038848921,10.3
ORIOLE PKWY and CHAPLIN CRES,M5P 2H1,14555,716,42.7,43296,1.083775186,12.9
AVENUE RD and CHAPLIN CRES,M5P 2K5,19127,601,42.7,43296,1.083775186,12.9
AVENUE RD and ST CLEMENTS AVE,M5N 1M2,18012,970,39.8,40021,1.115646259,18.5
AVENUE RD and GLENGROVE AVE W,M4R 1P4,22274,416,39.4,45447,1.079062958,17.3
AVENUE RD and LAWRENCE AVE W,M5N,27712,2674,39.8,40021,1.115646259,18.5
AVENUE RD and FAIRLAWN AVE,M5M 3Y4,20920,1089,39.1,48777,1.118811881,21.1
AVENUE RD and BROOKE AVE,M5M 4A1,22365,1366,39.1,48777,1.118811881,21.1
AVENUE RD and DUNBLAINE AVE,M5M 4A6,16556,638,39.1,48777,1.118811881,21.1
AVENUE RD and WILSON AVE,M5M,33867,1383,39.1,48777,1.118811881,21.1
YONGE ST and YORK MILLS RD,M2P,38102,1068,43.1,42614,1.087954111,13.9
YONGE ST and SHEPPARD AVE,M2N,38219,12257,39.9,26456,1.005619293,11.5
YONGE ST and EMPRESS AVE,M2N,21274,11387,39.9,26456,1.005619293,11.5
YONGE ST and CHURCH AVE,M2N,20746,5164,39.9,26456,1.005619293,11.5
YONGE ST and FINCH AVE,M2M,29978,13027,43.8,22337,1.050952136,10.4
YONGE ST and CUMMER AVE,M2M,28482,2794,43.8,22337,1.050952136,10.4
YONGE ST and MADAWASKA AVE,M2M,25570,1461,43.8,22337,1.050952136,10.4
YONGE ST and STEELES AVE,M2M 3Y2,42005,6483,43.8,22337,1.050952136,10.4
MOUNT PLEASANT RD and ELM AVE,M4W 1N4,15595,1057,45.3,49760,1.045380875,10.6
MOUNT PLEASANT RD and INGLEWOOD DR,M4T 1H7,16844,493,44.4,50632,1.107883817,13.1
MOUNT PLEASANT RD and ST CLAIR AVE E,M4T 1P1,16436,366,44.4,50632,1.107883817,13.1
MOUNT PLEASANT RD and MOORE AVE,M4T 1V3,14138,237,44.4,50632,1.107883817,13.1
MOUNT PLEASANT RD and MERTON ST,M4S 2L5,19066,744,41.1,42378,1.037420382,13.3
MOUNT PLEASANT RD and DAVISVILLE AVE,M4S,20037,2463,41.1,42378,1.037420382,13.3
MOUNT PLEASANT RD and MANOR RD E,M4S 2N1,16260,1698,41.1,42378,1.037420382,13.3
MOUNT PLEASANT RD and BROADWAY AVE,M4P 2L6,16019,1976,40.8,36334,1.064850843,9.6
MOUNT PLEASANT RD and BLYTHWOOD RD,M4N 1A4,17509,381,42.1,51429,1.100719424,17.4
MOUNT PLEASANT RD and ST LEONARDS AVE,M4N 1K2,11213,186,42.1,51429,1.100719424,17.4
MOUNT PLEASANT RD and LAWRENCE AVE E,M4N 2V1,16832,290,42.1,51429,1.100719424,17.4
KINGSTON RD and MORNINGSIDE AVE,M1E 3E8,25440,2070,41.5,25395,1.242701969,16.1
KINGSTON RD and LAWRENCE AVE E,M1E,32159,2590,41.5,25395,1.242701969,16.1
KINGSTON RD and GALLOWAY RD,M1E,23952,850,41.5,25395,1.242701969,16.1
KINGSTON RD and GUILDWOOD PKWY,M1J,24763,258,38.1,22985,1.263093788,19.6
KINGSTON RD and EGLINTON AVE E,M1J 3N6,26434,306,38.1,22985,1.263093788,19.6
KINGSTON RD and MARKHAM RD,M1M,21905,652,42.6,27311,1.14064603,15.5
KINGSTON RD and MCCOWAN RD,M1M,29118,1137,42.6,27311,1.14064603,15.5
KINGSTON RD and ST CLAIR AVE E,M1M 1M7,22911,604,42.6,27311,1.14064603,15.5
KINGSTON RD and MIDLAND AVE,M1M,21013,1644,42.6,27311,1.14064603,15.5
